W,L/D,theta,R,pso
3.63,4,157.5,9.45,60.4
3.63,4,157.5,2.13,94.87
3.63,4,157.5,3.35,117.83
3.63,4,157.5,4.88,96.18
3.63,4,157.5,6.4,70.74
3.63,4,157.5,7.92,69.57
3.63,4,157.5,9.45,57.64
3.63,4,180,2.13,124.93
3.63,4,180,3.35,125.35
3.63,4,180,4.88,95.77
3.63,4,180,6.4,82.6
3.63,4,180,7.92,71.36
3.63,4,180,9.45,64.81
3.63,4,180,2.13,108.11
3.63,4,180,3.35,115.28
3.63,4,180,4.88,97.56
3.63,4,180,6.4,67.02
3.63,4,180,7.92,74.19
3.63,4,180,9.45,58.4
3.63,4,180,2.13,124.59
3.63,4,180,3.35,123
3.63,4,180,4.88,110.32
3.63,4,180,6.4,93.49
3.63,4,180,7.92,76.12
3.63,4,180,9.45,64.4
3.63,6,0,2.13,408.58
3.63,6,0,3.35,59.57
3.63,6,0,4.88,27.51
3.63,6,0,6.4,14.69
3.63,6,0,7.92,43.64
3.63,6,0,9.45,26.75
3.63,6,45,2.13,272.21
3.63,6,45,3.35,130.59
3.63,6,45,4.88,75.01
3.63,6,45,6.4,41.92
3.63,6,45,7.92,32.34
3.63,6,45,9.45,22.13
3.63,6,90,2.13,1003.26
3.63,6,90,3.35,244.76
3.63,6,90,4.88,77.91
3.63,6,90,6.4,42.4
3.63,6,90,7.92,31.37
3.63,6,90,9.45,19.99
3.63,6,90,2.13,517.52
3.63,6,90,3.35,236.7
3.63,6,90,4.88,82.19
3.63,6,90,6.4,50.95
3.63,6,90,7.92,28.27
3.63,6,90,9.45,18
3.63,6,135,2.13,259.93
3.63,6,135,3.35,120.66
3.63,6,135,4.88,63.85
3.63,6,135,6.4,43.44
3.63,6,135,7.92,28.34
3.63,6,135,9.45,20.82
3.63,6,180,2.13,169.89
3.63,6,180,3.35,47.71
3.63,6,180,4.88,20.82
3.63,6,180,6.4,59.85
3.63,6,180,7.92,33.23
3.63,6,180,9.45,22.68
7.26,1,0,3.35,794.83
7.26,1,0,4.88,293.37
7.26,1,0,6.4,94.67
7.26,1,0,7.92,52.4
7.26,1,0,9.45,28.54
7.26,1,90,3.35,345.43
7.26,1,90,4.88,103.28
7.26,1,90,6.4,53.3
7.26,1,90,7.92,39.85
7.26,1,90,9.45,25.99
7.26,1,90,3.35,316.81
7.26,1,90,4.88,98.04
7.26,1,90,6.4,60.67
7.26,1,90,7.92,34.27
7.26,1,90,9.45,24.13
7.26,1,180,3.35,455.74
7.26,1,180,4.88,144.17
7.26,1,180,6.4,63.29
7.26,1,180,7.92,33.72
7.26,1,180,9.45,21.24
7.26,4,0,3.35,192.43
7.26,4,0,4.88,64.19
7.26,4,0,6.4,32.13
7.26,4,0,7.92,16.75
7.26,4,0,9.45,14.13
7.26,4,90,3.35,343.63
7.26,4,90,4.88,118.73
7.26,4,90,6.4,66.26
7.26,4,90,7.92,48.81
7.26,4,90,9.45,30.68
7.26,4,90,3.35,463.33
7.26,4,90,4.88,139.48
7.26,4,90,6.4,81.01
7.26,4,90,7.92,44.13
7.26,4,90,9.45,25.03
7.26,4,180,3.35,130.86
7.26,4,180,4.88,44.82
7.26,4,180,6.4,26.61
7.26,4,180,7.92,16.06
7.26,4,180,9.45,10.89
