W,L/D,theta,R,iso,pso
3.63,1,157.5,3.35,96.6,141.76
3.63,1,157.5,4.88,81.22,57.43
3.63,1,157.5,6.4,75.98,37.51
3.63,1,157.5,7.92,63.71,27.17
3.63,1,157.5,9.45,58.81,22.27
3.63,1,180,2.13,294.13,911.69
3.63,1,180,3.35,132.66,248.21
3.63,1,180,4.88,109.76,77.01
3.63,1,180,6.4,77.01,36.82
3.63,1,180,7.92,63.71,22.68
3.63,1,180,9.45,56.54,14.89
3.63,1,180,2.13,284.13,1055.93
3.63,1,180,3.35,121.49,85.63
3.63,1,180,4.88,79.7,24.55
3.63,1,180,6.4,75.91,39.78
3.63,1,180,7.92,65.36,22.41
3.63,1,180,9.45,58.19,15.86
3.63,1,180,2.13,262.21,885.43
3.63,1,180,3.35,124.66,217.39
3.63,1,180,4.88,87.01,81.84
3.63,1,180,6.4,76.05,41.58
3.63,1,180,7.92,66.05,21.86
3.63,1,180,9.45,56.88,15.72
3.63,2,0,2.13,253.52,979.06
3.63,2,0,3.35,138.52,219.53
3.63,2,0,4.88,106.8,65.22
3.63,2,0,6.4,65.43,27.58
3.63,2,0,7.92,65.22,18.48
3.63,2,0,9.45,53.3,11.86
3.63,2,0,2.13,139.48,833.37
3.63,2,0,3.35,120.04,320.33
3.63,2,0,4.88,108.94,71.29
3.63,2,0,6.4,91.63,35.65
3.63,2,0,7.92,70.4,17.86
3.63,2,0,9.45,37.65,11.24
3.63,2,45,2.13,172.23,340.67
3.63,2,45,3.35,153.55,185.19
3.63,2,45,4.88,110.52,97.29
3.63,2,45,6.4,78.95,53.5
3.63,2,45,7.92,65.78,37.71
3.63,2,45,9.45,51.57,24.55
3.63,2,90,2.13,204.15,759.73
3.63,2,90,3.35,116.66,186.92
3.63,2,90,4.88,87.22,75.7
3.63,2,90,6.4,61.02,40.06
3.63,2,90,7.92,54.47,27.58
3.63,2,90,9.45,43.02,18.41
3.63,2,90,2.13,226.35,787.66
3.63,2,90,3.35,112.87,194.91
3.63,2,90,4.88,84.81,66.81
3.63,2,90,6.4,67.36,46.06
3.63,2,90,7.92,50.68,27.1
3.63,2,90,9.45,48.95,23.03
3.63,2,90,2.13,345.63,1042.35
3.63,2,90,3.35,73.98,196.85
3.63,2,90,4.88,78.12,28.82
3.63,2,90,6.4,76.88,38.89
3.63,2,90,7.92,61.36,29.16
3.63,2,90,9.45,47.44,18.89
3.63,2,135,2.13,149.13,347.15
3.63,2,135,3.35,127.62,155.06
3.63,2,135,4.88,91.49,69.57
3.63,2,135,6.4,74.6,51.71
3.63,2,135,7.92,61.57,32.34
3.63,2,135,9.45,55.5,24.61
3.63,2,180,2.13,190.16,475.26
3.63,2,180,3.35,93.77,121.76
3.63,2,180,4.88,88.32,42.75
3.63,2,180,6.4,76.46,27.3
3.63,2,180,7.92,63.78,15.17
3.63,2,180,9.45,58.54,12.13
3.63,3,0,2.13,144.38,1089.65
3.63,3,0,3.35,118.93,464.71
3.63,3,0,4.88,78.32,61.98
3.63,3,0,6.4,73.5,24.68
3.63,3,0,7.92,65.91,13.51
3.63,3,0,9.45,55.99,9.17
3.63,3,45,2.13,157.68,302.68
3.63,3,45,3.35,141.14,159.13
3.63,3,45,4.88,110.66,92.18
3.63,3,45,6.4,80.6,55.09
3.63,3,45,7.92,66.47,36.13
3.63,3,45,9.45,55.09,27.17
3.63,3,90,2.13,186.99,420.51
3.63,3,90,3.35,120.24,132.1
3.63,3,90,4.88,90.46,70.74
3.63,3,90,6.4,67.71,48.81
3.63,3,90,7.92,53.43,29.92
3.63,3,90,9.45,44.61,21.93
3.63,3,90,2.13,234.7,860.74
3.63,3,90,3.35,123.55,230.15
3.63,3,90,4.88,82.6,66.67
3.63,3,90,6.4,64.33,47.78
3.63,3,90,7.92,51.5,28.61
3.63,3,90,9.45,46.88,22.96
3.63,3,90,2.13,397.76,1049.31
3.63,3,90,3.35,120.59,193.81
3.63,3,90,4.88,85.15,78.53
3.63,3,90,6.4,71.57,41.78
3.63,3,90,7.92,57.5,30.82
3.63,3,90,9.45,49.37,20.06
3.63,3,135,2.13,144.51,317.92
3.63,3,135,3.35,115.76,135.55
3.63,3,135,4.88,89.08,65.78
3.63,3,135,6.4,72.81,48.54
3.63,3,135,7.92,60.74,30.89
3.63,3,135,9.45,52.88,24.13
3.63,3,180,2.13,139.48,339.84
3.63,3,180,3.35,85.22,100.59
3.63,3,180,4.88,88.8,32.06
3.63,3,180,6.4,77.57,21.99
3.63,3,180,7.92,65.22,13.03
3.63,3,180,9.45,59.29,10.27
3.63,3,180,2.13,132.24,316.95
3.63,3,180,3.35,115.49,81.43
3.63,3,180,4.88,99.7,31.3
3.63,3,180,6.4,80.53,21.1
3.63,3,180,7.92,70.12,13.31
3.63,3,180,9.45,51.37,27.58
3.63,4,0,2.13,169.82,169.82
3.63,4,0,3.35,92.11,92.11
3.63,4,0,4.88,103.42,103.42
3.63,4,0,6.4,77.43,77.43
3.63,4,0,7.92,70.33,70.33
3.63,4,0,9.45,58.12,58.12
3.63,4,0,2.13,205.6,205.6
3.63,4,0,3.35,118.73,118.73
3.63,4,0,4.88,89.77,89.77
3.63,4,0,6.4,75.7,75.7
3.63,4,0,7.92,73.15,73.15
3.63,4,0,9.45,60.95,60.95
3.63,4,22.5,2.13,94.6,94.6
3.63,4,22.5,3.35,101.49,101.49
3.63,4,22.5,4.88,91.29,91.29
3.63,4,22.5,6.4,56.05,56.05
3.63,4,22.5,7.92,66.47,66.47
3.63,4,22.5,9.45,53.92,53.92
3.63,4,22.5,2.13,108.11,108.11
3.63,4,22.5,3.35,106.18,106.18
3.63,4,22.5,4.88,86.12,86.12
3.63,4,22.5,6.4,71.5,71.5
3.63,4,22.5,7.92,66.47,66.47
3.63,4,22.5,9.45,59.43,59.43
3.63,4,22.5,2.13,97.97,97.97
3.63,4,22.5,3.35,110.87,110.87
3.63,4,22.5,4.88,93.91,93.91
3.63,4,22.5,6.4,81.15,81.15
3.63,4,22.5,7.92,72.6,72.6
3.63,4,22.5,9.45,58.33,58.33
3.63,4,45,2.13,153.48,153.48
3.63,4,45,3.35,130.52,130.52
3.63,4,45,4.88,114.59,114.59
3.63,4,45,6.4,85.01,85.01
3.63,4,45,7.92,62.67,62.67
3.63,4,45,9.45,55.99,55.99
3.63,4,45,2.13,148.72,148.72
3.63,4,45,3.35,130.72,130.72
3.63,4,45,4.88,104.59,104.59
3.63,4,45,6.4,79.57,79.57
3.63,4,45,7.92,65.84,65.84
3.63,4,45,9.45,58.26,58.26
3.63,4,67.5,2.13,160.79,160.79
3.63,4,67.5,3.35,131.9,131.9
3.63,4,67.5,4.88,96.39,96.39
3.63,4,67.5,6.4,68.95,68.95
3.63,4,67.5,7.92,59.29,59.29
3.63,4,67.5,9.45,49.44,49.44
3.63,4,67.5,2.13,165.96,165.96
3.63,4,67.5,3.35,129.76,129.76
3.63,4,67.5,4.88,93.15,93.15
3.63,4,67.5,6.4,74.88,74.88
3.63,4,67.5,7.92,59.43,59.43
3.63,4,67.5,9.45,53.16,53.16
3.63,4,90,2.13,291.44,291.44
3.63,4,90,3.35,114.38,114.38
3.63,4,90,4.88,93.77,93.77
3.63,4,90,6.4,67.02,67.02
3.63,4,90,7.92,50.68,50.68
3.63,4,90,9.45,44.13,44.13
3.63,4,90,2.13,283.1,283.1
3.63,4,90,3.35,123.62,123.62
3.63,4,90,4.88,87.84,87.84
3.63,4,90,6.4,67.43,67.43
3.63,4,90,7.92,53.43,53.43
3.63,4,90,9.45,47.85,47.85
3.63,4,90,2.13,225.46,225.46
3.63,4,90,3.35,123,123
3.63,4,90,4.88,92.11,92.11
3.63,4,90,6.4,61.57,61.57
3.63,4,90,7.92,53.71,53.71
3.63,4,90,9.45,50.4,50.4
3.63,4,90,2.13,259.31,259.31
3.63,4,90,3.35,123,123
3.63,4,90,4.88,90.39,90.39
3.63,4,90,6.4,66.74,66.74
3.63,4,90,7.92,53.02,53.02
3.63,4,90,9.45,45.44,45.44
3.63,4,90,2.13,255.45,255.45
3.63,4,90,3.35,131.83,131.83
3.63,4,90,4.88,93.08,93.08
3.63,4,90,6.4,70.74,70.74
3.63,4,90,7.92,53.5,53.5
3.63,4,90,9.45,44.61,44.61
3.63,4,112.5,2.13,146.44,146.44
3.63,4,112.5,3.35,116.38,116.38
3.63,4,112.5,4.88,94.87,94.87
3.63,4,112.5,6.4,70.26,70.26
3.63,4,112.5,7.92,56.47,56.47
3.63,4,112.5,9.45,51.5,51.5
3.63,4,112.5,2.13,139.34,139.34
3.63,4,112.5,3.35,118.93,118.93
3.63,4,112.5,4.88,94.46,94.46
3.63,4,112.5,6.4,67.91,67.91
3.63,4,112.5,7.92,57.43,57.43
3.63,4,112.5,9.45,49.23,49.23
3.63,4,112.5,2.13,143.07,143.07
3.63,4,112.5,3.35,116.8,116.8
3.63,4,112.5,4.88,95.29,95.29
3.63,4,112.5,6.4,73.15,73.15
3.63,4,112.5,7.92,59.09,59.09
3.63,4,112.5,9.45,48.95,48.95
3.63,4,135,2.13,142.45,142.45
3.63,4,135,3.35,118.8,118.8
3.63,4,135,4.88,90.25,90.25
3.63,4,135,6.4,71.98,71.98
3.63,4,135,7.92,60.67,60.67
3.63,4,135,9.45,52.47,52.47
3.63,4,135,2.13,136.24,136.24
3.63,4,135,3.35,122.73,122.73
3.63,4,135,4.88,95.01,95.01
3.63,4,135,6.4,61.36,61.36
3.63,4,135,7.92,63.71,63.71
3.63,4,135,9.45,52.54,52.54
3.63,4,157.5,2.13,105.49,105.49
3.63,4,157.5,3.35,118.87,118.87
